,SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
46,50589,MIKES LT LEMONADE 12OZ NR CS,6,,13.99,0,649,21,6,15,0,1,0,1,77562,MIKES LT LEMONADE 12OZ NR CS 12 OZ 12-PACK
47,50591,ROSENBLUM DESIREE 375,0,,18.99,0,319,30,,5,0,1,0,0,,ROSENBLUM DESIREE 375 375 ML
48,50596,CHAT CABLANC 2010,0,,11.99,0,340,31,,7,0,1,1,0,,CHAT CABLANC 2010 750 ML
49,50616,CAMUS ELEGANCE ,0,,399.99,0,269,20,,7,0,1,0,0,,CAMUS ELEGANCE  750 ML
50,50628,ESPOLON ANJEO X ,0,,99.99,2,547,25,,7,0,1,0,0,,ESPOLON ANJEO X  750 ML
51,50639,ALTESINO BRUNELLO 2010,0,,69.99,0,357,32,,7,0,1,0,0,,ALTESINO BRUNELLO 2010 750 ML WS96
52,50641,SIERRA DEL MAR CHARDONNAY,0,,12.99,11,320,30,,7,0,1,0,0,,SIERRA DEL MAR CHARDONNAY 750 ML
53,50643,GREEN&RED CHILES MILL ZIN '12,0,,26.99,0,317,30,,7,0,1,0,0,,GREEN&RED CHILES MILL ZIN '12 750 ML
54,50644,LA CARTUJA PRIORAT,0,,14.99,0,376,34,,7,0,1,0,0,,LA CARTUJA PRIORAT 750 ML
55,50645,MARRENON GRAND MARRENON 09,0,,17.99,0,346,31,,7,0,1,0,0,,MARRENON GRAND MARRENON 09 750 ML WE89
56,50646,AULTMORE 25YR OLD,0,,469.99,6,149,10,,7,0,1,0,0,,AULTMORE 25YR OLD 750 ML
