SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
58357,ROGUE 8 HOP IPA 22OZ,0,,6.99,0,607,21,,20,0,1,0,0,,ROGUE 8 HOP IPA 22OZ [8 HOP IPA 22 OZ] 22 OZ
58358,SPEAKEASY BLACK HAND 22OZ,0,,6.99,0,607,21,,20,0,1,0,0,,SPEAKEASY BLACK HAND 22OZ 22 OZ
58359,DOM BARAT CHABLIS '12,0,,17.99,6,343,31,,7,0,1,0,0,,DOM BARAT CHABLIS '12 750 ML
58364,CONEY ISLAND ROOT BEER CANS,6,,39.99,0,649,21,8,,0,1,0,0,78364,CONEY ISLAND ROOT BEER CANS 24-PACK
58370,DAILY'S MOJITO MIX 1.0L,0,,3.99,11,422,43,,8,0,1,0,0,,DAILY'S MOJITO MIX 1.0L 1 LT
58371,BRUERY TERREUX SOUR IN RYE 750,0,,30.99,11,607,21,,7,0,1,0,0,,BRUERY TERREUX SOUR IN RYE 750 [TERREUX 750ML] 750 ML
58376,BLUE MOUNTAIN BLUE RESERVE 750,0,,11.99,3,538,21,,7,0,1,0,0,,BLUE MOUNTAIN BLUE RESERVE 750 750 ML
58386,NEW HOLLAND KNICKERBOCKER GIN,0,,26.99,0,280,22,,7,0,1,0,0,,NEW HOLLAND KNICKERBOCKER GIN 750 ML
58389,SELKIRK ABBEY GUILT 22OZ,0,,10.99,4,607,21,,20,0,1,0,0,,SELKIRK ABBEY GUILT 22OZ 22 OZ
58391,TABLE JOY DIRTY MARTINI JUICE,0,,3.99,7,422,43,,,0,1,0,0,,TABLE JOY DIRTY MARTINI JUICE
58392,CECI BLUEBERRY PINOT NOIR,0,,12.99,0,640,61,,,0,1,0,0,,CECI BLUEBERRY PINOT NOIR
58394,TRANSMITTER S6 RYE SAISON 750,0,,14.99,0,607,21,,7,0,1,0,0,,TRANSMITTER S6 RYE SAISON 750 750 ML
58399,OLD BARREL VODKA ,0,,21.99,4,290,26,,7,0,1,0,0,,OLD BARREL VODKA  750 ML
58401,L'CHAIM GIFT BAG,0,,1.99,-3,432,46,,,0,1,0,0,,L'CHAIM GIFT BAG
58402,NEW BELGIUM LE TERROIR 22OZ,0,,10.99,6,607,21,,20,0,1,0,0,,NEW BELGIUM LE TERROIR 22OZ 22 OZ
58405,PALMA LOUCA ,6,,38.99,1,607,21,8,15,0,1,0,0,78405,PALMA LOUCA  12 OZ 24-PACK
58406,PALMA LOUCA ,6,,10.99,2,607,21,3,15,0,1,0,1,78405,PALMA LOUCA  12 OZ 6-PACK
58407,VOLIERO BRUNELLO '11,0,,42.99,22,357,32,,7,0,1,0,0,,VOLIERO BRUNELLO '11 750 ML JS94
58411,BALLAST POINT DEVIL MOON ,0,,24.99,0,204,18,,7,0,1,0,0,,BALLAST POINT DEVIL MOON  750 ML
58412,TRUCHARD ROUSSANE  ,0,,21.99,0,637,30,,7,0,1,0,0,,TRUCHARD ROUSSANE   750 ML
58413,SIDURI PINOT NOIR  CLOS PEPE,0,,54.99,0,316,30,,7,0,1,0,0,,SIDURI PINOT NOIR  CLOS PEPE 750 ML WA94
58414,ALVINNE BARREL AGED PODGE 16.9,0,,10.99,9,607,21,,16,0,1,0,0,,ALVINNE BARREL AGED PODGE 16.9 16 OZ
58415,DEL DUCATO LA LUNA ROSSA11.2OZ,0,,16.99,7,610,21,,,0,1,0,0,,DEL DUCATO LA LUNA ROSSA11.2OZ
58416,WAITER CORKSCREW BLACK,0,,3.99,39,429,46,,,0,1,0,0,,WAITER CORKSCREW BLACK
58419,ARCA NOVA VINHO VERDE WHITE,0,,7.99,0,566,37,,7,0,1,0,0,,ARCA NOVA VINHO VERDE WHITE 750 ML
